test_id,num_points,grid_size,cockayne_steiner,geosteiner_steiner,flute_steiner,cockayne_wirelength,geosteiner_wirelength,flute_wirelength,cockayne_time,geosteiner_time,flute_time
279,10,8150,8,8,8,21569,21569,21569,0.032272,0.000961,5e-06
280,10,9505,8,8,8,24370,24370,24370,0.028153,0.00014,5e-06
281,10,8248,8,8,8,19218,19218,19218,0.028559,0.000222,5e-06
282,10,8759,8,8,8,24292,24292,24292,0.023935,0.000176,4e-06
283,10,9270,8,8,8,20559,20559,20839,0.045044,0.000398,5e-06
284,10,9150,8,8,8,27573,27573,27573,0.026128,0.000118,4e-06
285,10,9216,9,8,8,26895,26895,26895,0.028789,0.000181,5e-06
286,10,8358,8,8,8,21706,21706,21706,0.023321,0.000159,5e-06
287,10,9116,8,8,8,27672,27672,27672,0.031644,0.000222,1e-05
288,10,9358,8,8,8,29347,29347,29347,0.022916,0.000213,6e-06
289,10,8055,8,8,8,19781,19781,19781,0.039679,0.000133,4e-06
290,10,8507,8,8,8,25915,25915,25915,0.023766,0.00011,5e-06
291,10,9080,8,8,8,17895,17895,17895,0.025945,0.000261,4e-06
292,10,9901,8,8,8,24033,24033,24033,0.038897,0.000174,5e-06
293,10,9440,8,8,8,22991,22991,22991,0.029663,0.000107,4e-06
294,10,8525,8,8,8,22065,22065,22065,0.034073,0.000107,4e-06
295,10,7586,8,8,8,20405,20405,20405,0.022921,0.000166,4e-06
296,10,9748,8,8,8,27005,27005,27105,0.026717,0.000194,4e-06
297,10,9222,8,8,8,25041,25041,25041,0.032398,0.000594,5e-06
298,10,8364,8,8,8,23530,23530,23530,0.03328,0.000115,5e-06
299,10,9424,8,8,8,21514,21514,21514,0.018497,9.2e-05,6e-06
300,10,8530,9,8,8,23991,23991,23991,0.034265,0.000176,5e-06
301,10,9435,8,8,8,26075,26075,26075,0.023675,0.000171,5e-06
302,10,6836,8,8,8,17678,17678,17678,0.04069,0.000121,5e-06
303,10,8816,8,8,8,24465,24465,24465,0.027666,0.000141,5e-06
304,10,9366,8,8,8,25398,25398,25398,0.031909,0.000218,6e-06
305,10,8798,8,8,8,20291,20291,20291,0.029369,0.000166,5e-06
306,10,9623,9,8,8,23756,23756,23756,0.034313,0.000197,5e-06
307,10,9727,8,8,8,26857,26857,26857,0.0372,0.000136,5e-06
308,10,9365,8,8,8,25320,25320,25320,0.030943,0.000193,4e-06
309,10,8284,8,8,8,28006,28006,28112,0.03392,0.000137,5e-06
310,10,9576,8,8,8,27482,27482,27482,0.028019,0.000131,4e-06
311,10,8634,8,8,8,20366,20366,20366,0.038863,9.9e-05,1.1e-05
312,10,8281,8,8,8,19897,19897,19897,0.029386,0.000111,5e-06
313,10,8485,8,8,8,26253,26253,26253,0.028322,0.000234,4e-06
314,10,8554,8,8,8,24598,24598,24598,0.03474,0.000217,4e-06
315,10,9694,8,8,8,28132,28132,28132,0.0285,0.000177,4e-06
316,10,8518,8,8,8,16368,16368,16368,0.042927,0.000184,4e-06
317,10,9967,8,8,8,30254,30254,30254,0.025941,0.00019,4e-06
318,10,7599,8,8,8,18959,18959,18959,0.024282,0.000195,2e-06
319,10,8614,8,8,8,20919,20919,20919,0.039103,9.7e-05,5e-06
320,10,9664,9,8,8,27317,27317,27317,0.022402,0.000143,5e-06
321,10,9104,8,8,8,24076,24076,24076,0.026614,0.000162,5e-06
322,10,8484,8,8,8,25332,25332,25332,0.027924,0.00066,1e-06
323,10,9556,8,8,8,29085,29085,29085,0.029845,0.000271,5e-06
324,10,8926,8,8,8,25547,25547,25547,0.031973,0.000215,5e-06
325,10,7302,8,8,8,15236,15236,15236,0.023198,0.00016,2e-06
326,10,8147,8,8,8,25196,25196,25196,0.037553,0.000234,5e-06
327,10,6801,8,8,8,17279,17279,17279,0.029544,0.000114,6e-06
328,10,8304,8,8,8,20749,20749,20749,0.020258,0.000179,2e-06
329,10,9342,8,8,8,28530,28530,28530,0.041232,0.000187,5e-06
330,10,9601,8,8,8,25734,25734,25734,0.030034,0.000195,2e-06
331,10,8526,8,8,8,20472,20472,20472,0.029717,0.000153,1e-06
332,10,9136,8,8,8,24993,24993,24993,0.024891,0.00017,5e-06
333,10,8732,8,8,8,22196,22196,22196,0.033334,0.000149,6e-06
334,10,9502,8,8,8,25986,25986,25986,0.026162,0.000196,5e-06
335,10,9474,8,8,8,25363,25363,25363,0.034284,0.000233,1e-05
336,10,9853,8,8,8,26113,26113,26113,0.039759,0.000225,5e-06
337,10,8736,8,8,8,25092,25092,25092,0.027897,0.000194,4e-06
338,10,8416,8,8,8,18390,18390,18390,0.037149,0.000153,5e-06
339,10,7419,8,8,8,16465,16465,16465,0.027883,0.000142,3e-06
340,10,9108,8,8,8,23005,23005,23005,0.027573,0.000186,4e-06
341,10,8570,8,8,8,23779,23779,23779,0.020601,0.000173,2e-06
342,10,7589,8,8,8,19528,19528,19528,0.032055,0.000228,5e-06
343,10,8507,8,8,8,18657,18657,18657,0.040841,0.000191,5e-06
344,10,9420,8,8,8,22821,22821,22821,0.02459,0.000129,2e-06
345,10,9018,8,8,8,23318,23318,23318,0.023234,0.000176,4e-06
346,10,8686,8,8,8,20944,20944,20944,0.022048,0.00014,4e-06
347,10,8625,8,8,8,23300,23300,23300,0.027138,0.000115,6e-06
348,10,9408,8,8,8,21937,21937,21937,0.024428,0.00026,2e-06
349,10,9949,8,8,8,22464,22464,22464,0.039744,0.000156,4e-06
350,10,9307,8,8,8,26048,26048,26048,0.034947,0.000128,5e-06
351,10,9456,8,8,8,22377,22377,22377,0.024697,0.000172,5e-06
352,10,9461,8,8,8,23247,23247,23247,0.032318,0.000393,5e-06
353,10,7612,8,8,8,20667,20667,20667,0.031298,0.00023,5e-06
354,10,9301,8,8,8,24285,24285,24285,0.029123,0.000189,5e-06
355,10,9123,8,8,8,29465,29465,29465,0.03749,0.00016,4e-06
356,10,9474,8,8,8,26487,26487,26487,0.031041,0.000205,2e-06
357,10,8567,8,8,8,23216,23216,23216,0.026413,0.000187,4e-06
358,10,8142,8,8,8,23468,23468,23468,0.027732,0.000186,5e-06
359,10,6812,8,8,8,17200,17200,17200,0.034232,0.000157,5e-06
360,10,7622,8,8,8,20060,20060,20060,0.027271,0.000142,2e-06
361,10,7930,8,8,8,21476,21476,21476,0.028586,0.000136,5e-06
362,10,8830,8,8,8,25678,25678,25678,0.032891,0.000242,2e-06
363,10,8387,8,8,8,24757,24757,24757,0.027023,0.000121,5e-06
